"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
9.2,23.2,3.3,0.8,1.8,0.806,29,0.423,1.6,"SG"
22.9,35.6,8.2,0.6,5.9,0.77,22,0.521,5.4,"SF"
6.1,20.7,2.3,0.7,0.8,0.711,23,0.467,0.7,"SF"
20.3,33.7,7.3,1.6,4.1,0.79,30,0.475,5.8,"PG"
21.9,34.5,7.5,2,5,0.844,26,0.471,3.5,"SF"
10,32.4,4,0.2,1.7,0.814,27,0.502,1.9,"PF"
11.7,22.5,4.8,0,2.2,0.741,26,0.533,2.3,"C"
19.2,35.5,7.6,1,3.1,0.861,24,0.468,1.5,"PF"
17,32.6,7,0,2.9,0.628,27,0.557,0.7,"C"
3.2,7.7,1.2,0.5,0.2,0.5,20,0.359,0.4,"PF"
6.8,14.8,2.7,0.8,0.6,0.759,25,0.487,1.2,"SG"
5.6,17.9,2.1,0,1.4,0.573,30,0.586,0.6,"C"
7.5,25.5,2.6,1.2,0.9,0.789,26,0.411,1.4,"SG"
4.6,15.2,1.6,0.6,0.8,0.909,25,0.364,0.9,"SG"
28.9,33.8,9,3.2,7.8,0.909,27,0.463,5.9,"PG"
7.4,22.5,2.8,0.6,1.2,0.805,21,0.402,2.6,"PG"
9.4,24.1,4.1,0.3,0.9,0.706,28,0.439,5.2,"PG"
7.5,16,3.3,0,0.8,0.653,19,0.529,0.8,"C"
10.9,22,4.1,1.5,1.3,0.863,32,0.414,5.5,"PG"
15,28.2,5.1,2.6,2.3,0.891,32,0.445,1.4,"SG"
8.6,29,3,2.3,0.2,0.667,31,0.346,1.5,"SG"
20.1,33.9,7.8,1.3,3.2,0.743,21,0.49,2.8,"PF"
13.9,32.4,4.6,2.2,2.4,0.811,26,0.463,2.2,"SF"
11.8,22.7,4.8,0,2.1,0.671,21,0.514,1.2,"C"
2.2,7.1,0.7,0.4,0.4,0.765,22,0.292,0.3,"SF"
3.1,11.6,1.2,0,0.6,0.544,21,0.583,0.2,"C"
12.3,26.3,4.4,1.4,2.1,0.857,36,0.413,2.6,"SG"
9.9,21.5,3.6,1.4,1.3,0.883,19,0.404,2.1,"SG"
9.2,27.3,3.6,1.4,0.6,0.714,34,0.444,5.1,"PG"
6.7,23.5,2.3,0.8,1.3,0.782,26,0.455,1,"SF"
29.1,36.4,8.3,3.2,9.2,0.847,27,0.44,11.2,"PG"
12.8,27.4,4.8,1.1,2,0.707,29,0.479,3.6,"PF"
2.8,7.9,0.9,0.6,0.3,0.65,36,0.478,0.3,"SF"
2.8,8.8,1.2,0,0.4,0.5,24,0.53,0.3,"PF"
2.3,7.6,0.9,0.4,0.2,0.667,21,0.431,0.1,"SG"
8.9,27.3,3.2,0.7,1.7,0.802,26,0.5,1.1,"PF"
6.8,21.3,2.5,1.2,0.7,0.662,31,0.454,1.9,"PF"
3.4,10.7,1.4,0.3,0.4,0.5,24,0.319,0.3,"PF"
3.9,13.3,1.4,0.2,1,0.8,22,0.384,0.2,"PF"
5.7,14.4,2.4,0.5,0.5,0.686,30,0.529,0.5,"C"
4.1,18.4,1.4,1,0.3,0.828,39,0.432,1.3,"SG"
6.1,9.6,2.7,0,0.7,0.505,29,0.652,0.2,"C"
6.6,17.2,2.5,0.6,1.1,0.685,20,0.454,0.8,"SF"
9.2,22.2,3.2,0.8,2.1,0.863,30,0.394,1.2,"PF"
15.3,32.4,4.9,1.1,4.4,0.867,28,0.442,7.8,"PG"
2.9,8.5,1.1,0,0.7,0.75,26,0.534,0.1,"C"
5.5,19.1,1.9,0.5,1.1,0.612,22,0.463,0.6,"PF"
9.7,18.4,3.6,0.7,1.8,0.853,24,0.46,1.2,"SG"
14.5,24.5,4.9,1.6,3.2,0.816,28,0.438,5.1,"PG"
5.9,16.3,2,0.8,1,0.89,24,0.425,1.9,"PG"
11,23.7,3.7,0.7,3,0.9,28,0.344,4.3,"PG"
23.9,37,7.5,1.2,7.7,0.865,27,0.455,5.5,"SF"
